MDL_NO,CAPTION,JUDGE,DISTRICT,DATE_FILED,DATE_TRANSFERRED,DATE_TERMINTAED,MASTER_DOCKET,TOTAL_ACTIONS,TYPE,APPOINTMENT_ORDER,APPOINTMENT_ORDER_CONTESTED,PLAINTIFF_LEAD_COUNSEL ,PLAINTIFF_LEAD_COUNSEL_AUTHORITY,PLAINTIFF_LEAD_COUNSEL_DUTIES,PLAINTIFF_LEADERSHIP_STRUCTURE, PLAINTIFF_LEADERSHIP_AUTHORITY ,PLAINTIFF_LEADERSHIP_DUTIES ,PLAINTIFF_LIAISON_COUNSEL ,DEFENSE_LEAD_COUNSEL,DEFENSE_LEADERSHIP_STRUCTURE  ,DEFENSE _LIAISON_COUNSEL ,RULE_23,MCL,LIMIT_NONLEADER_PRACTICE ,FINANCIAL_CONTRIBUTION,LEADERSHIP_COMPENSATION,RECORDKEEPING,COMMENTS_OLD,Notes,Assigned to,Complete,Order_Count,Sum_OU_Create,Sum_OU_Terminate,Net_OUs,YEARS_PENDING,Source_Table
2835,"2835 IN RE: Iron Oak Technologies, LLC, Patent Litigation","Lynn, Barbara M.G.",TXN,2018-02-27,2018-06-11,,3:18-md-2835,12,Intellectual Property,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Case stayed pending inter partes review before PTO,No appointment order found.,Reynold Orsua,checked,0,0,0,0,,old
2836,2836 IN RE: Zetia (Ezetimibe) Antitrust Litigation,"Smith, Rebecca Beach",VAE,2018-02-28,2018-06-08,2018-08-14,2:18-md-2836,16,Antitrust,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,Discusses relative advantages of different proposed structures,,Mariah Uustal,checked,4,14,0,14,,old
2841,"2841 IN RE: MONAT Hair Care Products Marketing, Sales Practices and Products Liability Litigation","Gayles, Darrin P.",FLS,2018-03-21,2018-06-06,2018-08-17,1:18-md-2841,11,Products Liability,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,"All  communications with court through lead and liason counsel. ""Counsel for Plaintiffs who disagree with Lead and Liason Counsel, or who have
individual or divergent positions, may not act separately on behalf of their clients without prior authorization of this Court.""""Lead Counsel shall determine the
particular duties to assign to individual members of the Steering Committee.""",,Robert Vogel,checked,1,3,0,3,,old
2842,2842 IN RE: Chicago Board Options Exchange Volatility Index Manipulation Antitrust Litigation,"Shah, Manish S.",ILN,2018-03-23,2018-06-14,2018-08-18,1:18-cv-4171,27,Antitrust,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,"Appoint a P leadership counsel that will best represent Ps in early stages of litigation. Co-lead counsel shall ""take the lead"" in performing certain tasks. Says that court has considered R23, MCL, and PSLRA",,Mariah Uustal,checked,7,2,0,2,,old
2843,"2843 IN RE: Facebook, Inc., Consumer Privacy User Profile Litigation","Chhabria, Vince",CAN,2018-03-30,2018-06-06,2018-07-27,3:18-md-2843,39,Miscellanous,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Court picks ""finalists"" and says that it will only consider their applications at the hearing. Requires finalists to submit bios of their core team and list of every ND Cal case that they have worked on. Ex of AHP",,Robert Vogel,checked,1,1,0,1,,old
2846,"2846 IN RE: Davol, Inc./C.R. Bard, Inc., Polypropylene Hernia Mesh Products Liability Litigation","Sargus, Edmund A.",OHS,2018-04-10,2018-08-02,2018-09-19,2:18-md-2846,2485,Products Liability,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,Says that PSC members are expected to advance common benefit costs and that failure to make payments is cause for removal from PSC. Contains admonition that indiviual attys are responsible for their own clients. Signed by DJ and MJ,,Reynold Orsua,checked,4,11,0,11,,old
2848,2848 IN RE: Zostavax (Zoster Vaccine Live) Products Liability Litigation,"Bartle, Harvey",PAE,2018-04-20,2018-08-02,2018-09-25,2:18-md-2848,673,Products Liability,1,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,Consensus order. Disclaims PSC and co-lead duties toward individual plaintiffs.,,Mariah Uustal,checked,5,6,0,6,,old
2850,2850 IN RE: Railway Industry Employee No-Poach Antitrust Litigation,"Conti, Joy Flowers",PAW,2018-04-25,2018-08-02,,2:18-mc-798,26,Antitrust,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Minute order indicates that court selected lead counsel at hearing. Court directs leads to file proposed order dealing with fees, communications. Proposed order docketed but never signed.",,Mariah Uustal,checked,3,3,0,3,,old
2859,2859 IN RE: Zimmer M/L Taper Hip Prosthesis or M/L Taper Hip Prosthesis with Kinectiv Technology and Versys Femoral Head Products Liability Litigation,"Crotty, Paul A.",NYS,2018-06-19,2018-10-03,2019-01-30,1:18-md-2859,107,Products Liability,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"""PSC will be responsible for prosecuting any potential common benefit claims"" [wtf?]. Creates a PSC and puts it under the PEC. Super detailed list of responsibilities. SDNY appears to be a leader in MDL charters. ",,Robert Vogel,checked,4,3,0,3,,old
2862,2862 IN RE: Diisocyanates Antitrust Litigation,"Ambrose, Donetta W. ",PAW ,2018-07-10,2018-10-03,,2:18-mc-1001,12,Antitrust,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,"""Defendants' counsel may rely on all agreements made with Interim Co-Lead Class Counsel, and such agreements shall be binding on all other Plaintiffs' counsel in their respective actions."" ""Counsel for any of the Plaintiffs who have individual issues or divergent positions from those of other Plaintiffs as presented by Co-Lead Counsel may submit to the Court separate arguments, written or oral, provided that such submissions do not duplicate those presented by Co-Lead Counsel.",,Mariah Uustal,checked,5,2,0,2,,old
